,time,size,src,dst,protocol
0,1541358731.27535,40,52.94.227.146,192.168.86.40,6
1,1541358731.2750535,86,192.168.86.40,52.94.227.146,6
2,1541358731.2747989,40,192.168.86.40,52.94.227.146,6
3,1541358731.2745006,86,52.94.227.146,192.168.86.40,6
4,1541358731.2742124,40,192.168.86.40,52.94.227.146,6
5,1541358731.2738698,40,192.168.86.40,52.94.227.146,6
6,1541358731.2735536,78,52.94.227.146,192.168.86.40,6
7,1541358731.273255,132,52.94.227.146,192.168.86.40,6
8,1541358731.2729795,40,52.94.227.146,192.168.86.40,6
9,1541358731.2727003,40,52.94.227.146,192.168.86.40,6
10,1541358731.2724242,40,52.94.227.146,192.168.86.40,6
11,1541358731.272144,40,52.94.227.146,192.168.86.40,6
12,1541358731.2718594,40,52.94.227.146,192.168.86.40,6
13,1541358731.2715416,955,192.168.86.40,52.94.227.146,6
14,1541358731.271225,1500,192.168.86.40,52.94.227.146,6
15,1541358731.2709045,1500,192.168.86.40,52.94.227.146,6
16,1541358731.2705898,176,192.168.86.40,52.94.227.146,6
17,1541358731.2702293,273,192.168.86.40,52.94.227.146,6
18,1541358731.2699158,40,192.168.86.40,52.94.227.146,6
19,1541358731.2696655,40,192.168.86.40,52.94.227.146,6
20,1541358731.2693574,78,52.94.227.146,192.168.86.40,6
21,1541358731.2690284,132,52.94.227.146,192.168.86.40,6
22,1541358731.2687366,40,192.168.86.40,52.94.227.146,6
23,1541358731.268488,40,192.168.86.40,52.94.227.146,6
24,1541358731.2681863,78,52.94.227.146,192.168.86.40,6
25,1541358731.267856,132,52.94.227.146,192.168.86.40,6
26,1541358731.2675455,40,52.94.227.146,192.168.86.40,6
27,1541358731.2672641,40,52.94.227.146,192.168.86.40,6
28,1541358731.2669811,40,52.94.227.146,192.168.86.40,6
29,1541358731.2666633,1328,192.168.86.40,52.94.227.146,6
30,1541358731.26634,1500,192.168.86.40,52.94.227.146,6
31,1541358731.266031,1500,192.168.86.40,52.94.227.146,6
32,1541358731.2657423,40,52.94.227.146,192.168.86.40,6
33,1541358731.2654548,40,52.94.227.146,192.168.86.40,6
34,1541358731.265123,78,192.168.86.40,52.94.227.146,6
35,1541358731.2647705,122,192.168.86.40,52.94.227.146,6
36,1541358731.2644691,840,192.168.86.40,52.94.227.146,6
37,1541358731.264128,1500,192.168.86.40,52.94.227.146,6
38,1541358731.2637928,1500,192.168.86.40,52.94.227.146,6
39,1541358731.2634544,176,192.168.86.40,52.94.227.146,6
40,1541358731.263156,273,192.168.86.40,52.94.227.146,6
41,1541358731.2628996,52,192.168.86.40,52.84.61.93,6
42,1541358731.2626362,52,52.84.61.93,192.168.86.40,6
43,1541358731.2623625,40,54.239.29.0,192.168.86.40,6
44,1541358731.2621162,40,192.168.86.40,54.239.29.0,6
45,1541358731.261863,40,192.168.86.40,54.239.29.0,6
46,1541358731.2615862,40,54.239.29.0,192.168.86.40,6
47,1541358731.261292,40,54.239.29.0,192.168.86.40,6
48,1541358731.2610412,40,192.168.86.40,54.239.29.0,6
49,1541358731.2607272,71,192.168.86.40,54.239.29.0,6
50,1541358731.2604117,405,54.239.29.0,192.168.86.40,6
51,1541358731.2601156,40,54.239.29.0,192.168.86.40,6
52,1541358731.259719,784,192.168.86.40,54.239.29.0,6
53,1541358731.2594197,40,54.239.29.0,192.168.86.40,6
54,1541358731.259124,91,192.168.86.40,54.239.29.0,6
55,1541358731.2588317,40,192.168.86.40,54.239.29.0,6
56,1541358731.258526,177,54.239.29.0,192.168.86.40,6
57,1541358731.2582405,40,54.239.29.0,192.168.86.40,6
58,1541358731.2579634,40,54.239.29.0,192.168.86.40,6
59,1541358731.257711,40,192.168.86.40,52.94.227.146,6
60,1541358731.2574112,298,192.168.86.40,54.239.29.0,6
61,1541358731.2571034,40,192.168.86.40,54.239.29.0,6
62,1541358731.2568295,40,192.168.86.40,52.94.227.146,6
63,1541358731.2565613,52,54.239.29.0,192.168.86.40,6
64,1541358731.2562485,78,52.94.227.146,192.168.86.40,6
65,1541358731.2559402,132,52.94.227.146,192.168.86.40,6
66,1541358731.2556372,78,52.94.227.146,192.168.86.40,6
67,1541358731.2553322,132,52.94.227.146,192.168.86.40,6
68,1541358731.255045,60,192.168.86.40,54.239.29.0,6
69,1541358731.2545915,40,192.168.86.40,52.94.227.146,6
70,1541358731.2541585,461,52.94.227.146,192.168.86.40,6
71,1541358731.2538238,40,52.94.227.146,192.168.86.40,6
72,1541358731.2535467,40,52.94.227.146,192.168.86.40,6
73,1541358731.2532928,40,192.168.86.40,52.94.227.146,6
74,1541358731.2529826,78,192.168.86.40,52.94.227.146,6
75,1541358731.2526116,78,52.94.227.146,192.168.86.40,6
76,1541358731.2523162,132,52.94.227.146,192.168.86.40,6
77,1541358731.2520165,122,192.168.86.40,52.94.227.146,6
78,1541358731.2517092,836,192.168.86.40,52.94.227.146,6
79,1541358731.2513962,1500,192.168.86.40,52.94.227.146,6
80,1541358731.2510626,1500,192.168.86.40,52.94.227.146,6
81,1541358731.2507336,176,192.168.86.40,52.94.227.146,6
82,1541358731.2503955,274,192.168.86.40,52.94.227.146,6
83,1541358731.2499971,40,54.239.29.0,192.168.86.40,6
84,1541358731.2496734,40,192.168.86.40,54.239.29.0,6
85,1541358731.2493932,40,54.239.29.0,192.168.86.40,6
86,1541358731.2491062,40,52.94.227.146,192.168.86.40,6
87,1541358731.248709,40,192.168.86.40,54.239.29.0,6
88,1541358731.2483416,71,192.168.86.40,54.239.29.0,6
89,1541358731.2480183,405,54.239.29.0,192.168.86.40,6
90,1541358731.247728,40,54.239.29.0,192.168.86.40,6
91,1541358731.2474785,40,192.168.86.40,52.94.227.146,6
92,1541358731.2472289,40,192.168.86.40,52.94.227.146,6
93,1541358731.2469246,1096,192.168.86.40,52.94.227.146,6
94,1541358731.2466116,1500,192.168.86.40,52.94.227.146,6
95,1541358731.2462962,1500,192.168.86.40,52.94.227.146,6
96,1541358731.2459836,78,52.94.227.146,192.168.86.40,6
97,1541358731.245685,132,52.94.227.146,192.168.86.40,6
98,1541358731.245378,273,192.168.86.40,52.94.227.146,6
99,1541358731.2450657,773,192.168.86.40,54.239.29.0,6
100,1541358731.2447352,40,54.239.29.0,192.168.86.40,6
101,1541358731.2444568,40,52.94.227.146,192.168.86.40,6
102,1541358731.2441747,40,52.94.227.146,192.168.86.40,6
103,1541358731.2438748,91,192.168.86.40,54.239.29.0,6
104,1541358731.2435822,40,192.168.86.40,54.239.29.0,6
105,1541358731.242547,177,54.239.29.0,192.168.86.40,6
106,1541358731.2422464,40,54.239.29.0,192.168.86.40,6
107,1541358731.241935,40,54.239.29.0,192.168.86.40,6
108,1541358731.2416265,1091,192.168.86.40,52.94.227.146,6
109,1541358731.2413151,1500,192.168.86.40,52.94.227.146,6
110,1541358731.2409647,1500,192.168.86.40,52.94.227.146,6
111,1541358731.2406373,272,192.168.86.40,52.94.227.146,6
112,1541358731.240301,298,192.168.86.40,54.239.29.0,6
113,1541358731.2400525,40,192.168.86.40,54.239.29.0,6
114,1541358731.2397895,52,54.239.29.0,192.168.86.40,6
115,1541358731.239524,60,192.168.86.40,54.239.29.0,6
116,1541358731.2392783,40,192.168.86.40,52.94.227.146,6
117,1541358731.2390316,40,192.168.86.40,52.94.227.146,6
118,1541358731.2387774,40,192.168.86.40,52.94.227.146,6
119,1541358731.238494,40,192.168.86.40,52.94.227.146,6
120,1541358731.2382421,40,192.168.86.40,52.94.227.146,6
121,1541358731.2379813,40,192.168.86.40,52.94.227.146,6
122,1541358731.2376587,653,52.94.227.146,192.168.86.40,6
123,1541358731.237345,1500,52.94.227.146,192.168.86.40,6
124,1541358731.236956,1500,52.94.227.146,192.168.86.40,6
125,1541358731.2366045,1500,52.94.227.146,192.168.86.40,6
126,1541358731.2362938,1500,52.94.227.146,192.168.86.40,6
127,1541358731.2359705,1500,52.94.227.146,192.168.86.40,6
128,1541358731.2357228,40,192.168.86.40,52.94.227.146,6
129,1541358731.2354777,40,192.168.86.40,52.94.227.146,6
130,1541358731.235229,40,192.168.86.40,52.94.227.146,6
131,1541358731.2349818,40,192.168.86.40,52.94.227.146,6
132,1541358731.2347264,40,192.168.86.40,52.94.227.146,6
133,1541358731.234474,40,192.168.86.40,52.94.227.146,6
134,1541358731.2342212,40,192.168.86.40,52.94.227.146,6
135,1541358731.2339675,40,192.168.86.40,52.94.227.146,6
136,1541358731.233663,1500,52.94.227.146,192.168.86.40,6
137,1541358731.2333186,1500,52.94.227.146,192.168.86.40,6
138,1541358731.233008,1500,52.94.227.146,192.168.86.40,6
139,1541358731.2326453,1500,52.94.227.146,192.168.86.40,6
